日期,Ticker SYMBOL,外資買賣超,投信買賣超,自營商買賣超,三大法人合計,資料來源
2026-03-31,2330.TW,-20437778.0,1420700.0,2731971.0,-16285107.0,FinMind
2026-04-01,2330.TW,6181282.0,633380.0,2462791.0,9277453.0,FinMind
2026-04-02,2330.TW,-9385603.0,-192771.0,136029.0,-9442345.0,FinMind
2026-04-07,2330.TW,5880450.0,420851.0,91348.0,6392649.0,FinMind
2026-04-08,2330.TW,18393485.0,451659.0,1711231.0,20556375.0,FinMind
2026-04-09,2330.TW,721890.0,-103635.0,-497421.0,120834.0,FinMind
2026-04-10,2330.TW,8159941.0,-173389.0,374684.0,8361236.0,FinMind
2026-03-31,2317.TW,-21639524.0,-224682.0,2682599.0,-19181607.0,FinMind
2026-04-01,2317.TW,10467011.0,59177.0,2463076.0,12989264.0,FinMind
2026-04-02,2317.TW,-5413842.0,-433548.0,327433.0,-5519957.0,FinMind
2026-04-07,2317.TW,-10781184.0,-141743.0,613962.0,-10308965.0,FinMind
2026-04-08,2317.TW,11610332.0,-84130.0,4648038.0,16174240.0,FinMind
2026-04-09,2317.TW,-5432595.0,-525014.0,-245159.0,-6202768.0,FinMind
2026-04-10,2317.TW,-4481158.0,-415577.0,594256.0,-4302479.0,FinMind
2026-03-31,2454.TW,313333.0,-855753.0,365173.0,-177247.0,FinMind
2026-04-01,2454.TW,-3537117.0,-62973.0,135768.0,-3464322.0,FinMind
2026-04-02,2454.TW,-824336.0,-27277.0,11239.0,-840374.0,FinMind
2026-04-07,2454.TW,-829177.0,-686370.0,125644.0,-1389903.0,FinMind
2026-04-08,2454.TW,-80822.0,-55480.0,198720.0,62418.0,FinMind
2026-04-09,2454.TW,-727951.0,-177842.0,-79154.0,-984947.0,FinMind
2026-04-10,2454.TW,-1441359.0,-276294.0,1819.0,-1715834.0,FinMind
2026-03-31,2881.TW,-2764935.0,1041000.0,1687442.0,-36493.0,FinMind
2026-04-01,2881.TW,-1005403.0,1948877.0,757299.0,1700773.0,FinMind
2026-04-02,2881.TW,-945499.0,1689663.0,-163341.0,580823.0,FinMind
2026-04-07,2881.TW,-6365476.0,2299880.0,-149140.0,-4214736.0,FinMind
2026-04-08,2881.TW,-1312062.0,1384653.0,245076.0,317667.0,FinMind
2026-04-09,2881.TW,-7629164.0,1352614.0,-112588.0,-6389138.0,FinMind
2026-04-10,2881.TW,-10071328.0,95570.0,204557.0,-9771201.0,FinMind
2026-03-31,2603.TW,-3692884.0,659500.0,782518.0,-2250866.0,FinMind
2026-04-01,2603.TW,1668592.0,1000544.0,263186.0,2932322.0,FinMind
2026-04-02,2603.TW,-627476.0,-14000.0,347240.0,-294236.0,FinMind
2026-04-07,2603.TW,401043.0,-57415.0,236074.0,579702.0,FinMind
2026-04-08,2603.TW,-5291162.0,-258611.0,196670.0,-5353103.0,FinMind
2026-04-09,2603.TW,1823917.0,-574450.0,96723.0,1346190.0,FinMind
2026-04-10,2603.TW,574099.0,-171725.0,96524.0,498898.0,FinMind
2026-03-31,3231.TW,-5500959.0,-134000.0,2867362.0,-2767597.0,FinMind
2026-04-01,3231.TW,3030694.0,1020688.0,1147642.0,5199024.0,FinMind
2026-04-02,3231.TW,-2753185.0,1209759.0,736577.0,-806849.0,FinMind
2026-04-07,3231.TW,-6546894.0,1454924.0,221971.0,-4869999.0,FinMind
2026-04-08,3231.TW,22480934.0,536901.0,-817041.0,22200794.0,FinMind
2026-04-09,3231.TW,15340978.0,-29639.0,-687911.0,14623428.0,FinMind
2026-04-10,3231.TW,9922598.0,-323524.0,909965.0,10509039.0,FinMind
2026-03-31,1519.TW,1386436.0,-659000.0,-40355.0,687081.0,FinMind
2026-04-01,1519.TW,1128311.0,-79000.0,30869.0,1080180.0,FinMind
2026-04-02,1519.TW,-104433.0,-81600.0,-7910.0,-193943.0,FinMind
