ticker,feature_name,feature_value
2330.TW,K_Body_Pct,0.010126582278481013
2330.TW,Upper_Shadow,0.0
2330.TW,Lower_Shadow,0.002506265664160401
2330.TW,Dist_to_MA20,0.07402422212521012
2330.TW,Volume_Ratio,0.7214266844011312
2330.TW,BB_Width,0.12583256627326023
2330.TW,RSI,64.94845360824743
2330.TW,MACD_Hist,15.47693071461079
2330.TW,ADX,14.804123487579856
2330.TW,Foreign_Ratio,4090.195989974937
2330.TW,Trust_Ratio,-86.91177944862156
2330.TW,Total_Ratio,4191.095739348371
2330.TW,Foreign_Consec_Days,4.0
2330.TW,Trust_Consec_Days,0.0
2330.TW,Weighted_Buy_Score,5.0
2330.TW,Weighted_Sell_Score,0.5
2330.TW,Score_Gap,4.5
2330.TW,Signal_Conflict,0.0
2330.TW,buy_c2,1.0
2330.TW,buy_c3,0.0
2330.TW,buy_c4,1.0
2330.TW,buy_c5,0.0
2330.TW,buy_c6,1.0
2330.TW,buy_c7,1.0
2330.TW,buy_c8,0.0
2330.TW,buy_c9,1.0
2330.TW,sell_c2,0.0
2330.TW,sell_c3,0.0
2330.TW,sell_c4,0.0
2330.TW,sell_c5,1.0
2330.TW,sell_c6,0.0
2330.TW,sell_c7,0.0
2330.TW,sell_c8,0.0
2330.TW,sell_c9,0.0
2330.TW,Trap_Signal,0.0
2330.TW,Vol_Squeeze,0.0
2330.TW,Absorption,0.0
2330.TW,MR_Long_Spring,0.0
2330.TW,MR_Short_Trap,0.0
2330.TW,MR_Long_Accumulation,1.0
2330.TW,MR_Short_Distribution,0.0
2330.TW,ATR14,49.642857142857146
2330.TW,ATR_Pct,0.024883637665592553
2330.TW,ATR_Pctl_252,0.7777777777777778
2330.TW,RealizedVol_20,0.37451212103212306
2330.TW,RealizedVol_60,0.34405503963571654
2330.TW,Gap_Pct,0.010230179028132993
2330.TW,Overnight_Return,0.010230179028132993
2330.TW,Intraday_Return,0.010126582278481013
2330.TW,Turnover_Proxy,46258094925.0
2330.TW,ADV20_Proxy,59585507259.5
2330.TW,DollarVol20_Proxy,59585507259.5
2330.TW,Volume_Z20,-1.005480777675596
2330.TW,Return_Z20,0.7891225237192087
2330.TW,Revenue_YoY_Rank,0.5004668534080299
2330.TW,Chip_Total_Ratio_Rank,0.5004668534080299
2330.TW,Regime_TrendStrength_X_ScoreGap,0.6661855569410935
2330.TW,Volatility_X_SignalConflict,0.0
2330.TW,Event_Days_Since_Revenue,999.0
2330.TW,Event_Days_To_Revenue,999.0
2330.TW,Revenue_Window_1,0.0
2330.TW,Revenue_Window_3,0.0
2330.TW,Revenue_Window_5,0.0
2330.TW,Revenue_Window_10,0.0
2330.TW,Event_Days_Since_Earnings,999.0
2330.TW,Event_Days_To_Earnings,999.0
2330.TW,Earnings_Window_3,0.0
2330.TW,Earnings_Window_7,0.0
2330.TW,Earnings_Window_14,0.0
2330.TW,Earnings_Window_Flag,0.0
2330.TW,Dividend_Window_7,0.0
2330.TW,RS_vs_Market_20,-0.0084373499233909
2330.TW,RS_vs_Sector_20,0.0283505154639174
2330.TW,RS_vs_Market_20_Pctl,0.6918767507002801
2330.TW,RS_vs_Sector_20_Pctl,0.5806451612903226
2330.TW,Revenue_YoY,0.0
2330.TW,Revenue_YoY_Pctl,0.5004668534080299
2330.TW,Chip_Total_Ratio,0.0
2330.TW,Chip_Total_Ratio_Pctl,0.5004668534080299
2330.TW,Turnover_Pctl,1.0
2330.TW,ADV20_Pctl,1.0
2330.TW,ATR_Pct_Pctl,0.3258636788048553
2330.TW,RealizedVol_20_Pctl,0.5499533146591971
2330.TW,Sector,24.0
